open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755421200000,118410.0,118525.9,118266.0,118382.0,465576,1755422999999,393.29043972,6665,336755,284.46767263,0
1755423000000,118382.1,118417.4,118255.7,118362.0,164138,1755424799999,138.71572506,2635,102701,86.79614093,0
1755424800000,118362.0,118362.0,118199.2,118246.0,131679,1755426599999,111.34453982,1725,55458,46.89076753,0
1755426600000,118246.0,118406.3,118208.1,118406.3,96057,1755428399999,81.21163073,1578,60007,50.73181857,0
1755428400000,118406.3,118410.0,118292.9,118359.9,86274,1755430199999,72.89407665,1724,48829,41.25687685,0
1755430200000,118359.9,118385.0,118308.0,118322.9,76182,1755431999999,64.37386977,1278,33788,28.55140754,0
1755432000000,118322.8,118368.0,118230.4,118264.1,89406,1755433799999,75.57527314,1607,39171,33.11203256,0
1755433800000,118264.1,118296.0,118129.6,118163.9,79671,1755435599999,67.39558504,1641,32106,27.16082060,0
1755435600000,118163.9,118194.8,118084.1,118186.8,172180,1755437399999,145.75162553,1901,82048,69.45567665,0
1755437400000,118186.8,118588.4,118170.0,118457.8,332939,1755439199999,281.14345009,4215,222385,187.79151690,0
1755439200000,118457.8,118500.0,118166.8,118261.6,250647,1755440999999,211.81548093,3157,76139,64.32077439,0
1755441000000,118261.6,118320.0,118167.0,118167.0,74944,1755442799999,63.39100214,1541,36060,30.50061850,0
1755442800000,118167.1,118268.1,118139.4,118153.4,143669,1755444599999,121.56173012,1753,52425,44.35797695,0
1755444600000,118153.5,118264.0,118153.4,118256.5,108477,1755446399999,91.75495760,1442,52340,44.27496409,0
1755446400000,118256.5,118332.2,117948.7,118079.6,536424,1755448199999,454.19037887,5942,153140,129.62294942,0
1755448200000,118079.6,118122.0,117687.1,117837.0,488055,1755449999999,414.08838427,6446,208650,177.01759530,0
1755450000000,117837.0,117885.2,117639.1,117815.6,174963,1755451799999,148.55089772,5286,68659,58.29436667,0
1755451800000,117815.5,117943.9,117815.5,117915.6,61698,1755453599999,52.33224598,2053,34675,29.41237243,0
1755453600000,117915.6,117965.2,117752.6,117817.7,89721,1755455399999,76.10796408,2749,21869,18.55249575,0
1755455400000,117817.7,117860.7,117326.0,117555.2,404594,1755457199999,344.25282509,7174,108235,92.10752081,0
1755457200000,117555.2,117763.2,117481.3,117763.1,127544,1755458999999,108.41038687,4327,59120,50.25080461,0
1755459000000,117763.1,117763.1,117492.0,117592.9,126968,1755460799999,107.94523366,4228,45719,38.88337353,0
1755460800000,117592.9,117717.9,117528.4,117646.2,111102,1755462599999,94.44653000,2848,32843,27.92508596,0
1755462600000,117646.3,117754.0,117621.1,117621.1,62043,1755464399999,52.70837433,1742,19739,16.76994779,0
1755464400000,117620.3,117715.9,117620.3,117660.7,101840,1755466199999,86.55938202,2194,33173,28.19761084,0
